step,train_loss,val_loss,elapsed_sec
0,4.387290954589844,4.338726997375488,3.999176263809204
100,2.8005728721618652,2.808405876159668,65.42386889457703
200,2.5696330070495605,2.5830485820770264,118.45988535881042
300,2.504161834716797,2.5158729553222656,169.54222059249878
400,2.4471046924591064,2.475384473800659,220.74748516082764
500,2.4467544555664062,2.433505058288574,272.6177406311035
600,2.3740651607513428,2.392561435699463,324.6980562210083
700,2.329526901245117,2.3426461219787598,377.3921706676483
800,2.2782692909240723,2.2988462448120117,428.9167687892914
900,2.2307066917419434,2.2651772499084473,481.30320262908936
1000,2.2001819610595703,2.219545841217041,531.4869246482849
1100,2.135641574859619,2.181783676147461,582.4453032016754
1200,2.1230504512786865,2.145772933959961,632.9640600681305
1300,2.0854530334472656,2.114020824432373,682.3710198402405
1400,2.0602781772613525,2.094613790512085,731.5606863498688
1500,2.0195136070251465,2.0757439136505127,780.2150626182556
1600,1.9927692413330078,2.059324026107788,829.0848488807678
1700,1.9634929895401,2.032151699066162,878.3359968662262
1800,1.9143130779266357,2.01063871383667,927.879194021225
1900,1.9289090633392334,1.9952867031097412,977.5210120677948
2000,1.8877743482589722,1.9731616973876953,1031.244922876358
2100,1.8371217250823975,1.9535127878189087,1087.0985612869263
2200,1.8108744621276855,1.955072045326233,1141.2237298488617
2300,1.8247438669204712,1.9265769720077515,1199.0340912342072
2400,1.7856214046478271,1.9278602600097656,1254.596096754074
2500,1.813790202140808,1.902489423751831,1309.090866804123
2600,1.7872896194458008,1.8965060710906982,1361.1518285274506
2700,1.7074143886566162,1.8978297710418701,1418.3696570396423
2800,1.7235636711120605,1.866882562637329,1465.3113090991974
2900,1.7501602172851562,1.8649002313613892,1512.821979522705
3000,1.7289024591445923,1.8613955974578857,1560.9329795837402
